symbol,company_name,industry,isin,effective_from,effective_to,action,review_period
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,INE423A01024,2021-01-01,,ADD,H1FY26
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Services,INE742F01042,2021-01-01,,ADD,H1FY26
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Healthcare,INE437A01024,2021-01-01,,ADD,H1FY26
ASIANPAINT,Asian Paints Ltd.,Consumer Durables,INE021A01026,2021-01-01,,ADD,H1FY26
AXISBANK,Axis Bank Ltd.,Financial Services,INE238A01034,2021-01-01,,ADD,H1FY26
BAJAJ-AUTO,Bajaj Auto Ltd.,Automobile and Auto Components,INE917I01010,2021-01-01,,ADD,H1FY26
BAJFINANCE,Bajaj Finance Ltd.,Financial Services,INE296A01032,2021-01-01,,ADD,H1FY26
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services,INE918I01026,2021-01-01,,ADD,H1FY26
BEL,Bharat Electronics Ltd.,Capital Goods,INE263A01024,2021-01-01,,ADD,H1FY26
BHARTIARTL,Bharti Airtel Ltd.,Telecommunication,INE397D01024,2021-01-01,,ADD,H1FY26
CIPLA,Cipla Ltd.,Healthcare,INE059A01026,2021-01-01,,ADD,H1FY26
COALINDIA,Coal India Ltd.,Oil Gas & Consumable Fuels,INE522F01014,2021-01-01,,ADD,H1FY26
DRREDDY,Dr. Reddy's Laboratories Ltd.,Healthcare,INE089A01031,2021-01-01,,ADD,H1FY26
EICHERMOT,Eicher Motors Ltd.,Automobile and Auto Components,INE066A01021,2021-01-01,,ADD,H1FY26
ETERNAL,Eternal Ltd.,Consumer Services,INE758T01015,2021-01-01,,ADD,H1FY26
GRASIM,Grasim Industries Ltd.,Construction Materials,INE047A01021,2021-01-01,,ADD,H1FY26
HCLTECH,HCL Technologies Ltd.,Information Technology,INE860A01027,2021-01-01,,ADD,H1FY26
HDFCBANK,HDFC Bank Ltd.,Financial Services,INE040A01034,2021-01-01,,ADD,H1FY26
HDFCLIFE,HDFC Life Insurance Company Ltd.,Financial Services,INE795G01014,2021-01-01,,ADD,H1FY26
HINDALCO,Hindalco Industries Ltd.,Metals & Mining,INE038A01020,2021-01-01,,ADD,H1FY26
HINDUNILVR,Hindustan Unilever Ltd.,Fast Moving Consumer Goods,INE030A01027,2021-01-01,,ADD,H1FY26
ICICIBANK,ICICI Bank Ltd.,Financial Services,INE090A01021,2021-01-01,,ADD,H1FY26
ITC,ITC Ltd.,Fast Moving Consumer Goods,INE154A01025,2021-01-01,,ADD,H1FY26
INFY,Infosys Ltd.,Information Technology,INE009A01021,2021-01-01,,ADD,H1FY26
INDIGO,InterGlobe Aviation Ltd.,Services,INE646L01027,2021-01-01,,ADD,H1FY26
JSWSTEEL,JSW Steel Ltd.,Metals & Mining,INE019A01038,2021-01-01,,ADD,H1FY26
JIOFIN,Jio Financial Services Ltd.,Financial Services,INE758E01017,2021-01-01,,ADD,H1FY26
KOTAKBANK,Kotak Mahindra Bank Ltd.,Financial Services,INE237A01036,2021-01-01,,ADD,H1FY26
LT,Larsen & Toubro Ltd.,Construction,INE018A01030,2021-01-01,,ADD,H1FY26
M&M,Mahindra & Mahindra Ltd.,Automobile and Auto Components,INE101A01026,2021-01-01,,ADD,H1FY26
MARUTI,Maruti Suzuki India Ltd.,Automobile and Auto Components,INE585B01010,2021-01-01,,ADD,H1FY26
MAXHEALTH,Max Healthcare Institute Ltd.,Healthcare,INE027H01010,2021-01-01,,ADD,H1FY26
NTPC,NTPC Ltd.,Power,INE733E01010,2021-01-01,,ADD,H1FY26
NESTLEIND,Nestle India Ltd.,Fast Moving Consumer Goods,INE239A01024,2021-01-01,,ADD,H1FY26
ONGC,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,INE213A01029,2021-01-01,,ADD,H1FY26
POWERGRID,Power Grid Corporation of India Ltd.,Power,INE752E01010,2021-01-01,,ADD,H1FY26
RELIANCE,Reliance Industries Ltd.,Oil Gas & Consumable Fuels,INE002A01018,2021-01-01,,ADD,H1FY26
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,INE123W01016,2021-01-01,,ADD,H1FY26
SHRIRAMFIN,Shriram Finance Ltd.,Financial Services,INE721A01047,2021-01-01,,ADD,H1FY26
SBIN,State Bank of India,Financial Services,INE062A01020,2021-01-01,,ADD,H1FY26
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,Healthcare,INE044A01036,2021-01-01,,ADD,H1FY26
TCS,Tata Consultancy Services Ltd.,Information Technology,INE467B01029,2021-01-01,,ADD,H1FY26
TATACONSUM,Tata Consumer Products Ltd.,Fast Moving Consumer Goods,INE192A01025,2021-01-01,,ADD,H1FY26
TMPV,Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,INE155A01022,2021-01-01,,ADD,H1FY26
TATASTEEL,Tata Steel Ltd.,Metals & Mining,INE081A01020,2021-01-01,,ADD,H1FY26
TECHM,Tech Mahindra Ltd.,Information Technology,INE669C01036,2021-01-01,,ADD,H1FY26
TITAN,Titan Company Ltd.,Consumer Durables,INE280A01028,2021-01-01,,ADD,H1FY26
TRENT,Trent Ltd.,Consumer Services,INE849A01020,2021-01-01,,ADD,H1FY26
ULTRACEMCO,UltraTech Cement Ltd.,Construction Materials,INE481G01011,2021-01-01,,ADD,H1FY26
WIPRO,Wipro Ltd.,Information Technology,INE075A01022,2021-01-01,,ADD,H1FY26
